raw_name,file_type,prefix_1,prefix_2,prefix_3,scan_start_time [TAI 93],scan_end_time [TAI 93],duration [sec],scan_start_HHMM,scan_start_HHMMSS,area_wkt,KR_Sea_overlap,tif_name,lon_min,lon_max,lat_min,lat_max
VJ203DNB.A2025219.1806.021.2025220002717.nc,3,A2025219,1806,21,1028743570.736174,1028743929.246136,358.5099619626999,18:05,18:05:23,"POLYGON ((130.64007568359375 33.0372314453125, 97.86628723144531 38.051448822021484, 97.6924819946289 58.7020263671875, 144.78292846679688 51.573123931884766, 130.64007568359375 33.0372314453125))",67.14953876271494,A2025219_1806_021.tif,97.70868084716795,144.78168084716796,33.03707192993164,58.87307192993164
VJ203DNB.A2025219.1812.021.2025220001949.nc,3,A2025219,1812,21,1028743930.472054,1028744288.982022,358.50996804237366,18:11,18:11:23,"POLYGON ((122.85394287109375 13.081412315368652, 95.16399383544922 17.327857971191406, 97.85629272460938 38.05110168457031, 130.631591796875 33.037132263183594, 122.85394287109375 13.081412315368652))",,A2025219_1812_021.tif,,,,
VJ203DNB.A2025220.1606.021.2025220220213.nc,3,A2025220,1606,21,1028822771.695496,1028823130.205461,358.5099650621414,16:05,16:05:24,"POLYGON ((159.88284301757812 31.263811111450195, 127.71664428710938 36.16944122314453, 128.06982421875 56.838050842285156, 173.164306640625 49.99770736694336, 159.88284301757812 31.263811111450195))",32.9746833157284,A2025220_1606_021.tif,127.7268540649414,173.1648540649414,31.261256774902343,56.974256774902344
VJ203DNB.A2025220.1612.021.2025220220216.nc,3,A2025220,1612,21,1028823131.431402,1028823489.941374,358.5099719762802,16:11,16:11:24,"POLYGON ((152.43829345703125 11.234742164611816, 124.9815902709961 15.447648048400879, 127.70980072021484 36.169979095458984, 159.8770751953125 31.263107299804688, 152.43829345703125 11.234742164611816))",9.692399691866497,A2025220_1612_021.tif,124.99170849609376,159.87870849609376,11.23383413696289,36.16683413696289
VJ203DNB.A2025220.1748.021.2025220220213.nc,3,A2025220,1748,21,1028828890.785311,1028829249.295238,358.50992703437805,17:47,17:47:23,"POLYGON ((133.75564575195312 29.67036247253418, 102.28336334228516 34.4857063293457, 102.80513763427734 55.16658401489258, 146.32862854003906 48.56488037109375, 133.75564575195312 29.67036247253418))",97.7235449524518,A2025220_1748_021.tif,102.2851807861328,146.3281807861328,29.670120300292968,55.28112030029297
VJ203DNB.A2025220.1754.021.2025220235653.nc,3,A2025220,1754,21,1028829250.521178,1028829609.031132,358.5099539756775,17:53,17:53:23,"POLYGON ((126.6021499633789 9.581332206726074, 99.31783294677734 13.769323348999023, 102.27738189697266 34.48540496826172, 133.7515106201172 29.668760299682617, 126.6021499633789 9.581332206726074))",2.2951954136318395,A2025220_1754_021.tif,99.32772229003906,133.75272229003906,9.579183715820312,34.48218371582031
VJ203DNB.A2025221.1548.021.2025221200416.nc,3,A2025221,1548,21,1028908091.745021,1028908450.255018,358.509997010231,15:47,15:47:24,"POLYGON ((163.08474731445312 27.878084182739258, 132.1268310546875 32.605594635009766, 133.0595245361328 53.29757308959961, 174.92816162109375 46.9393196105957, 163.08474731445312 27.878084182739258))",,A2025221_1548_021.tif,,,,
VJ203DNB.A2025221.1554.021.2025221214619.nc,3,A2025221,1554,21,1028908451.480957,1028908809.99094,358.50998294353485,15:53,15:53:24,"POLYGON ((156.22579956054688 7.728159427642822, 129.10821533203125 11.892650604248047, 132.12124633789062 32.606136322021484, 163.08058166503906 27.87674331665039, 156.22579956054688 7.728159427642822))",0.0,A2025221_1554_021.tif,129.11821911621092,163.08121911621097,7.726899810791015,32.602899810791016
VJ203DNB.A2025221.1730.021.2025221214617.nc,3,A2025221,1730,21,1028914210.835062,1028914569.345004,358.50994193553925,17:29,17:29:23,"POLYGON ((137.0242156982422 26.270185470581055, 106.57597351074219 30.923200607299805, 107.7396469116211 51.6235466003418, 148.2763214111328 45.4627799987793, 137.0242156982422 26.270185470581055))",99.99999999999964,A2025221_1730_021.tif,106.58612823486328,148.27712823486328,26.26887600708008,51.69087600708008
VJ203DNB.A2025221.1736.021.2025221214618.nc,3,A2025221,1736,21,1028914570.570945,1028914929.080894,358.50994896888733,17:35,17:35:23,"POLYGON ((130.41748046875 6.0700273513793945, 103.41504669189453 10.217339515686035, 106.57012939453125 30.92339515686035, 137.0200958251953 26.26858901977539, 130.41748046875 6.0700273513793945))",0.0,A2025221_1736_021.tif,103.42501232910156,137.02201232910156,6.068084259033203,30.920084259033203
VJ203DNB.A2025222.1712.021.2025222222248.nc,3,A2025222,1712,21,1028999530.889603,1028999889.399596,358.5099929571152,17:11,17:11:23,"POLYGON ((140.41867065429688 22.841917037963867, 110.9119873046875 27.356782913208008, 112.51187896728516 48.0714111328125, 150.54978942871094 42.28457260131836, 140.41867065429688 22.841917037963867))",99.99999999999964,A2025222_1712_021.tif,110.9201905517578,150.55019055175782,22.84133197021484,48.10133197021485
VJ203DNB.A2025222.1854.021.2025223000848.nc,3,A2025222,1854,21,1029005651.769449,1029006010.279435,358.5099860429764,18:53,18:53:24,"POLYGON ((114.40623474121094 21.113895416259766, 85.2902603149414 25.56964111328125, 87.08474731445312 46.28764343261719, 124.03492736816406 40.66743850708008, 114.40623474121094 21.113895416259766))",,A2025222_1854_021.tif,,,,
VJ203DNB.A2025223.1648.021.2025223222019.nc,3,A2025223,1648,21,1029084491.211802,1029084849.721801,358.50999903678894,16:47,16:47:24,"POLYGON ((153.10653686523438 39.03927230834961, 117.18598937988281 44.509708404541016, 115.39422607421875 65.07862091064453, 170.9477081298828 56.70021057128906, 153.10653686523438 39.03927230834961))",0.0,A2025223_1648_021.tif,115.41391918945313,170.94691918945313,39.03689581298829,65.39489581298828
VJ203DNB.A2025223.1654.021.2025223222019.nc,3,A2025223,1654,21,1029084850.94774,1029085209.457739,358.50999903678894,16:53,16:53:23,"POLYGON ((143.91668701171875 19.38793182373047, 115.18714141845703 23.787363052368164, 117.18010711669922 44.51040267944336, 153.10107421875 39.038639068603516, 143.91668701171875 19.38793182373047))",99.99999999999964,A2025223_1654_021.tif,115.19665692138672,153.1016569213867,19.386008087158203,44.5200080871582
VJ203DNB.A2025223.1830.021.2025223235320.nc,3,A2025223,1830,21,1029090610.30228,1029090968.812257,358.50997710227966,18:29,18:29:23,"POLYGON ((126.77523803710938 37.48869323730469, 91.7053451538086 42.82796096801758, 90.47834777832031 63.42156982421875, 143.53021240234375 55.41038131713867, 126.77523803710938 37.48869323730469))",,A2025223_1830_021.tif,,,,
VJ203DNB.A2025223.1836.021.2025223235312.nc,3,A2025223,1836,21,1029090970.038194,1029091330.337914,360.2997200489044,18:35,18:35:23,"POLYGON ((117.95475769042969 17.650049209594727, 89.5431900024414 22.001766204833984, 91.70066833496094 42.82869338989258, 126.77112579345703 37.48727035522461, 117.95475769042969 17.650049209594727))",,A2025223_1836_021.tif,,,,
VJ203DNB.A2025224.1630.021.2025224215827.nc,3,A2025224,1630,21,1029169811.267958,1029170169.777942,358.50998389720917,16:29,16:29:24,"POLYGON ((155.89193725585938 35.737937927246094, 121.73309326171875 40.943077087402344, 121.02999877929688 61.5616569519043, 171.5366973876953 53.923404693603516, 155.89193725585938 35.737937927246094))",0.0,A2025224_1630_021.tif,121.0481431274414,171.5381431274414,35.73720962524414,61.79220962524414
