raw_name,file_type,prefix_1,prefix_2,prefix_3,scan_start_time [TAI 93],scan_end_time [TAI 93],duration [sec],scan_start_HHMM,scan_start_HHMMSS,area_wkt,tif_name
VJ103DNB.A2025298.1554.021.2025298221254.nc,3,A2025298,1554,21,1035561250.891461,1035561610.559515,359.66805398464203,15:53,15:53:23,"POLYGON ((165.97674560546875 22.53450584411621, 130.1831512451172 28.828800201416016, 131.51312255859375 49.59006118774414, 177.52833557128906 40.97504425048828, 165.97674560546875 22.53450584411621))",A2025298_1554_021.tif
VJ103DNB.A2025298.1730.021.2025298221256.nc,3,A2025298,1730,21,1035567010.851817,1035567370.519809,359.66799199581146,17:29,17:29:23,"POLYGON ((150.83763122558594 39.42918014526367, 106.17960357666016 47.821659088134766, 102.74744415283203 68.3587646484375, 171.7144317626953 54.9435920715332, 150.83763122558594 39.42918014526367))",A2025298_1730_021.tif
VJ103DNB.A2025298.1736.021.2025298221256.nc,3,A2025298,1736,21,1035567371.742616,1035567729.624027,357.88141095638275,17:35,17:35:24,"POLYGON ((139.93446350097656 20.987112045288086, 104.65243530273438 27.156627655029297, 106.18070983886719 47.82440185546875, 150.8861846923828 39.48737716674805, 139.93446350097656 20.987112045288086))",A2025298_1736_021.tif
VJ103DNB.A2025298.1912.021.2025299004527.nc,3,A2025298,1912,21,1035573131.702437,1035573489.583826,357.8813889026642,19:11,19:11:24,"POLYGON ((124.3302230834961 38.01051330566406, 80.73977661132812 46.15424346923828, 78.11659240722656 66.62666320800781, 143.9462432861328 53.844913482666016, 124.3302230834961 38.01051330566406))",A2025298_1912_021.tif
VJ103DNB.A2025298.1918.021.2025299004530.nc,3,A2025298,1918,21,1035573490.806612,1035573850.474609,359.6679970026016,19:17,19:17:23,"POLYGON ((113.88373565673828 19.335205078125, 79.00119018554688 25.384353637695312, 80.731689453125 46.15668869018555, 124.35945129394531 38.07601547241211, 113.88373565673828 19.335205078125))",A2025298_1918_021.tif
VJ103DNB.A2025299.1530.021.2025299200528.nc,3,A2025299,1530,21,1035646210.300786,1035646569.968843,359.66805696487427,15:29,15:29:23,"POLYGON ((179.8313751220703 38.024051666259766, 136.2702178955078 46.16886520385742, 133.59849548339844 66.74388122558594, -160.4123077392578 53.92707443237305, 179.8313751220703 38.024051666259766))",A2025299_1530_021.tif
VJ103DNB.A2025299.1712.021.2025299222857.nc,3,A2025299,1712,21,1035652331.152066,1035652689.033506,357.8814400434494,17:11,17:11:24,"POLYGON ((153.3768768310547 36.59019088745117, 110.85008239746094 44.50227355957031, 108.85475158691406 65.0076904296875, 171.9517822265625 52.77301788330078, 153.3768768310547 36.59019088745117))",A2025299_1712_021.tif
VJ103DNB.A2025299.1718.021.2025299222857.nc,3,A2025299,1718,21,1035652690.256292,1035653049.924321,359.6680290699005,17:17,17:17:23,"POLYGON ((143.39276123046875 17.7862491607666, 108.90412139892578 23.72654914855957, 110.84197998046875 44.50448989868164, 153.40438842773438 36.65582275390625, 143.39276123046875 17.7862491607666))",A2025299_1718_021.tif
VJ103DNB.A2025299.1854.021.2025300002728.nc,3,A2025299,1854,21,1035658450.216233,1035658809.884237,359.6680040359497,18:53,18:53:23,"POLYGON ((126.90501403808594 35.05413818359375, 85.47822570800781 42.731990814208984, 83.93911743164062 63.36444854736328, 144.5637664794922 51.64299011230469, 126.90501403808594 35.05413818359375))",A2025299_1854_021.tif
VJ103DNB.A2025299.1900.021.2025300002727.nc,3,A2025299,1900,21,1035658811.10702,1035659168.988444,357.8814239501953,18:59,18:59:24,"POLYGON ((117.43177032470703 16.21722412109375, 83.29225158691406 22.055349349975586, 85.4725112915039 42.733726501464844, 126.93037414550781 35.12010955810547, 117.43177032470703 16.21722412109375))",A2025299_1900_021.tif
VJ103DNB.A2025300.1654.021.2025300221321.nc,3,A2025300,1654,21,1035737651.452926,1035738009.33435,357.8814239501953,16:53,16:53:24,"POLYGON ((156.0503387451172 33.601932525634766, 115.45747375488281 41.072994232177734, 114.50010681152344 61.630859375, 172.6860809326172 50.40751266479492, 156.0503387451172 33.601932525634766))",A2025300_1654_021.tif
VJ103DNB.A2025300.1700.021.2025300221325.nc,3,A2025300,1700,21,1035738010.557157,1035738370.225168,359.6680109500885,16:59,16:59:23,"POLYGON ((146.9484405517578 14.55783462524414, 113.14949798583984 20.292505264282227, 115.4549789428711 41.07500457763672, 156.0829620361328 33.66463851928711, 146.9484405517578 14.55783462524414))",A2025300_1700_021.tif
VJ103DNB.A2025300.1836.021.2025300235656.nc,3,A2025300,1836,21,1035743770.51719,1035744130.185202,359.6680120229721,18:35,18:35:23,"POLYGON ((129.69561767578125 32.03044891357422, 89.96717071533203 39.30002212524414, 89.42082214355469 59.97972106933594, 145.51803588867188 49.198978424072266, 129.69561767578125 32.03044891357422))",A2025300_1836_021.tif
VJ103DNB.A2025300.1842.021.2025300235652.nc,3,A2025300,1842,21,1035744131.407987,1035744489.289398,357.88141095638275,18:41,18:41:24,"POLYGON ((120.98434448242188 12.990275382995605, 87.51129913330078 18.62303924560547, 89.95893096923828 39.30198287963867, 129.7172088623047 32.09705352783203, 120.98434448242188 12.990275382995605))",A2025300_1842_021.tif
VJ103DNB.A2025301.1636.021.2025301214959.nc,3,A2025301,1636,21,1035822971.754455,1035823329.6359,357.88144505023956,16:35,16:35:24,"POLYGON ((158.92552185058594 30.550716400146484, 119.92827606201172 37.63652420043945, 119.84685516357422 58.235374450683594, 173.8432159423828 47.89177703857422, 158.92552185058594 30.550716400146484))",A2025301_1636_021.tif
VJ103DNB.A2025301.1642.021.2025301214956.nc,3,A2025301,1642,21,1035823330.858687,1035823690.526719,359.66803193092346,16:41,16:41:23,"POLYGON ((150.61048889160156 11.300074577331543, 117.35816955566406 16.856584548950195, 119.92025756835938 37.638694763183594, 158.94528198242188 30.617576599121094, 150.61048889160156 11.300074577331543))",A2025301_1642_021.tif
VJ103DNB.A2025301.1818.021.2025302002556.nc,3,A2025301,1818,21,1035829090.818559,1035829450.486552,359.6679929494858,18:17,18:17:23,"POLYGON ((132.65101623535156 28.957857131958008, 94.51862335205078 35.861881256103516, 94.64952087402344 56.578609466552734, 146.87161254882812 46.61665344238281, 132.65101623535156 28.957857131958008))",A2025301_1818_021.tif
VJ103DNB.A2025301.1824.021.2025302002557.nc,3,A2025301,1824,21,1035829451.709337,1035829809.590751,357.8814140558243,18:23,18:23:24,"POLYGON ((124.74000549316406 9.710583686828613, 91.6981201171875 15.188834190368652, 94.51005554199219 35.8632926940918, 132.66897583007812 29.02497100830078, 124.74000549316406 9.710583686828613))",A2025301_1824_021.tif
VJ103DNB.A2025302.1618.021.2025302221330.nc,3,A2025302,1618,21,1035908290.267279,1035908649.935306,359.6680269241333,16:17,16:17:23,"POLYGON ((161.96852111816406 27.45183563232422, 124.38665008544922 34.19759750366211, 124.938232421875 54.928585052490234, 175.4883575439453 45.321380615234375, 161.96852111816406 27.45183563232422))",A2025302_1618_021.tif
VJ103DNB.A2025302.1624.021.2025302221330.nc,3,A2025302,1624,21,1035908651.158089,1035909009.03951,357.8814209699631,16:23,16:23:24,"POLYGON ((154.3813934326172 8.122200965881348, 121.53645324707031 13.52593994140625, 124.37886810302734 34.19961166381836, 161.98529052734375 27.519094467163086, 154.3813934326172 8.122200965881348))",A2025302_1624_021.tif
VJ103DNB.A2025302.1800.021.2025303010430.nc,3,A2025302,1800,21,1035914411.118042,1035914768.999476,357.88143396377563,17:59,17:59:24,"POLYGON ((135.82305908203125 25.93035316467285, 98.96055603027344 32.52412796020508, 99.7159423828125 53.1679801940918, 148.59793090820312 43.91066360473633, 135.82305908203125 25.93035316467285))",A2025302_1800_021.tif
VJ103DNB.A2025302.1806.021.2025303010430.nc,3,A2025302,1806,21,1035914770.22226,1035915129.890281,359.6680209636688,18:05,18:05:23,"POLYGON ((128.53091430664062 6.425014972686768, 95.84052276611328 11.757742881774902, 98.95671081542969 32.52554702758789, 135.84219360351562 25.997161865234375, 128.53091430664062 6.425014972686768))",A2025302_1806_021.tif
VJ103DNB.A2025303.1600.021.2025303223824.nc,3,A2025303,1600,21,1035993610.568527,1035993970.236569,359.6680420637131,15:59,15:59:23,"POLYGON ((165.1579132080078 24.314159393310547, 128.78466796875 30.758359909057617, 129.84666442871094 51.51095199584961, 177.36471557617188 42.56968307495117, 165.1579132080078 24.314159393310547))",A2025303_1600_021.tif
VJ103DNB.A2025303.1606.021.2025303223823.nc,3,A2025303,1606,21,1035993971.459355,1035994329.340817,357.8814619779587,16:05,16:05:24,"POLYGON ((158.21157836914062 4.829115867614746, 125.6613998413086 10.096803665161133, 128.77694702148438 30.76030731201172, 165.17181396484375 24.381738662719727, 158.21157836914062 4.829115867614746))",A2025303_1606_021.tif
VJ103DNB.A2025303.1742.021.2025303223826.nc,3,A2025303,1742,21,1035999731.419576,1036000089.300992,357.8814159631729,17:41,17:41:24,"POLYGON ((139.07723999023438 22.77568817138672, 103.26884460449219 29.085527420043945, 104.53445434570312 49.746219635009766, 150.64288330078125 41.10491180419922, 139.07723999023438 22.77568817138672))",A2025303_1742_021.tif
VJ103DNB.A2025303.1918.021.2025304002627.nc,3,A2025303,1918,21,1036005491.379534,1036005849.260943,357.8814090490341,19:17,19:17:24,"POLYGON ((124.01384735107422 39.64931106567383, 79.15503692626953 48.077392578125, 75.65148162841797 68.50789642333984, 144.91555786132812 55.05009078979492, 124.01384735107422 39.64931106567383))",A2025303_1918_021.tif
VJ103DNB.A2025303.1924.021.2025304002626.nc,3,A2025303,1924,21,1036005850.483751,1036006210.151749,359.66799795627594,19:23,19:23:23,"POLYGON ((112.99088287353516 21.13222312927246, 77.62539672851562 27.312509536743164, 79.15635681152344 48.080326080322266, 124.06230926513672 39.70756149291992, 112.99088287353516 21.13222312927246))",A2025303_1924_021.tif
VJ103DNB.A2025304.1536.021.2025304195623.nc,3,A2025304,1536,21,1036078571.765331,1036078929.646788,357.8814569711685,15:35,15:35:24,"POLYGON ((179.51817321777344 39.65544891357422, 134.64451599121094 48.08501052856445, 131.1951446533203 68.52032470703125, -159.59197998046875 55.06886291503906, 179.51817321777344 39.65544891357422))",A2025304_1536_021.tif
VJ103DNB.A2025304.1542.021.2025304195622.nc,3,A2025304,1542,21,1036078930.869573,1036079290.537619,359.66804599761963,15:41,15:41:23,"POLYGON ((168.49017333984375 21.13814926147461, 133.13357543945312 27.31875991821289, 134.6364288330078 48.08749771118164, 179.55091857910156 39.71991729736328, 168.49017333984375 21.13814926147461))",A2025304_1542_021.tif
VJ103DNB.A2025304.1718.021.2025304214223.nc,3,A2025304,1718,21,1036084690.829779,1036085050.497796,359.66801702976227,17:17,17:17:23,"POLYGON ((152.92495727539062 38.154212951660156, 109.29364013671875 46.317771911621094, 106.542724609375 66.88980865478516, 172.77529907226562 54.0274543762207, 152.92495727539062 38.154212951660156))",A2025304_1718_021.tif
VJ103DNB.A2025304.1724.021.2025304214223.nc,3,A2025304,1724,21,1036085051.720581,1036085409.602019,357.8814378976822,17:23,17:23:24,"POLYGON ((142.46824645996094 19.584505081176758, 107.56494140625 25.646596908569336, 109.28582763671875 46.3199348449707, 152.95570373535156 38.21891784667969, 142.46824645996094 19.584505081176758))",A2025304_1724_021.tif
VJ103DNB.A2025304.1900.021.2025305002253.nc,3,A2025304,1900,21,1036090811.680626,1036091169.562067,357.8814409971237,18:59,18:59:24,"POLYGON ((126.46160888671875 36.721675872802734, 83.82830810546875 44.64834213256836, 81.78336334228516 65.1510238647461, 145.1246795654297 52.879146575927734, 126.46160888671875 36.721675872802734))",A2025304_1900_021.tif
VJ103DNB.A2025304.1906.021.2025305002254.nc,3,A2025304,1906,21,1036091170.784852,1036091530.452882,359.66803002357483,19:05,19:05:23,"POLYGON ((116.44163513183594 17.925689697265625, 81.93460083007812 23.872446060180664, 83.82356262207031 44.65101623535156, 126.49298858642578 36.78624725341797, 116.44163513183594 17.925689697265625))",A2025304_1906_021.tif
VJ103DNB.A2025305.1700.021.2025308145907.nc,3,A2025305,1700,21,1036170011.13098,1036170369.012391,357.88141095638275,16:59,16:59:24,"POLYGON ((155.5426788330078 35.28262710571289, 113.91751098632812 42.98590087890625, 112.42888641357422 63.518157958984375, 173.23361206054688 51.755577087402344, 155.5426788330078 35.28262710571289))",A2025305_1700_021.tif
