raw_name,file_type,prefix_1,prefix_2,prefix_3,scan_start_time [TAI 93],scan_end_time [TAI 93],duration [sec],scan_start_HHMM,scan_start_HHMMSS,area_wkt,tif_name,lon_min,lon_max,lat_min,lat_max,KR_Sea_overlap,temp
VNP03DNB.A2025094.1600.002.2025095000822.nc,3,A2025094,1600,2,1017936010.394252,1017936370.370522,359.97627007961273,15:59,15:59:23,"POLYGON ((155.16064453125 7.729879379272461, 127.58389282226562 11.998655319213867, 130.572021484375 32.79120635986328, 162.0945587158203 27.940649032592773, 155.16064453125 7.729879379272461))",A2025094_1600_002.tif,127.59422467041016,162.09722467041016,7.728977478027344,32.787977478027344,0.0,A2025094_1600_002.tif
VNP03DNB.A2025094.1736.002.2025095000820.nc,3,A2025094,1736,2,1017941771.667106,1017942129.86414,358.1970340013504,17:35,17:35:24,"POLYGON ((135.9996337890625 26.25287628173828, 105.0258560180664 31.022199630737305, 106.06719207763672 51.69485855102539, 147.32720947265625 45.38956069946289, 135.9996337890625 26.25287628173828))",A2025094_1736_002.tif,105.03750775146484,147.32850775146483,26.25158135986328,51.77258135986328,99.99999999999956,A2025094_1736_002.tif
VNP03DNB.A2025095.1718.002.2025095235819.nc,3,A2025095,1718,2,1018027091.190235,1018027449.387259,358.1970239877701,17:17,17:17:24,"POLYGON ((139.42861938476562 22.976964950561523, 109.3756332397461 27.609235763549805, 110.87963104248047 48.29732131958008, 149.67884826660156 42.3575325012207, 139.42861938476562 22.976964950561523))",A2025095_1718_002.tif,109.38475964355467,149.67775964355468,22.97541595458984,48.33741595458984,99.99999999999956,A2025095_1718_002.tif
VNP03DNB.A2025095.1900.002.2025096031018.nc,3,A2025095,1900,2,1018033210.096999,1018033570.073348,359.9763489961624,18:59,18:59:23,"POLYGON ((113.41390991210938 21.27149772644043, 83.76016998291016 25.842662811279297, 85.50318908691406 46.63751220703125, 123.21917724609375 40.85928726196289, 113.41390991210938 21.27149772644043))",A2025095_1900_002.tif,83.7711655883789,123.22116558837892,21.270664672851563,46.66566467285156,0.0,A2025095_1900_002.tif
VNP03DNB.A2025096.1654.002.2025096231515.nc,3,A2025096,1654,2,1018112051.303053,1018112409.500093,358.1970399618149,16:53,16:53:24,"POLYGON ((152.28904724121094 39.25818634033203, 115.57461547851562 44.88607406616211, 113.44813537597656 65.41100311279297, 170.424072265625 56.78664779663086, 152.28904724121094 39.25818634033203))",A2025096_1654_002.tif,113.46700451660156,170.42500451660158,39.25673504638672,65.77373504638672,0.0,A2025096_1654_002.tif
VNP03DNB.A2025096.1700.002.2025096231517.nc,3,A2025096,1700,2,1018112410.715541,1018112768.91261,358.19706904888153,16:59,16:59:23,"POLYGON ((142.9634246826172 19.672718048095703, 113.67327117919922 24.1917667388916, 115.56636047363281 44.8895263671875, 152.280517578125 39.26197814941406, 142.9634246826172 19.672718048095703))",A2025096_1700_002.tif,113.68432019042967,152.2823201904297,19.67297915649414,44.90297915649414,99.99999999999956,A2025096_1700_002.tif
VNP03DNB.A2025096.1836.002.2025097030746.nc,3,A2025096,1836,2,1018118170.210032,1018118530.186391,359.97635900974274,18:35,18:35:23,"POLYGON ((125.89248657226562 37.637454986572266, 90.12385559082031 43.121986389160156, 88.55004119873047 63.77467346191406, 142.99407958984375 55.52643585205078, 125.89248657226562 37.637454986572266))",A2025096_1836_002.tif,88.56968853759766,142.99568853759766,37.6349189453125,64.0889189453125,0.0325586627962339,A2025096_1836_002.tif
VNP03DNB.A2025096.1842.002.2025097030747.nc,3,A2025096,1842,2,1018118531.401859,1018118889.598944,358.19708490371704,18:41,18:41:24,"POLYGON ((116.99596405029297 17.95735740661621, 88.04051208496094 22.426267623901367, 90.12108612060547 43.12562942504883, 125.88804626464844 37.63975143432617, 116.99596405029297 17.95735740661621))",A2025096_1842_002.tif,88.05130169677734,125.88730169677734,17.957083343505857,43.13308334350586,14.970541282897752,A2025096_1842_002.tif
VNP03DNB.A2025097.1636.002.2025098011519.nc,3,A2025097,1636,2,1018197370.826718,1018197729.023732,358.19701397418976,16:35,16:35:23,"POLYGON ((155.1064453125 36.10958480834961, 120.15087127685547 41.470306396484375, 119.13090515136719 62.048484802246094, 171.10244750976562 54.157772064208984, 155.1064453125 36.10958480834961))",A2025097_1636_002.tif,119.1500184326172,171.1010184326172,36.10752340698242,62.31552340698242,0.0,A2025097_1636_002.tif
VNP03DNB.A2025097.1642.002.2025098011520.nc,3,A2025097,1642,2,1018197730.239202,1018198090.215513,359.97631096839905,16:41,16:41:23,"POLYGON ((146.5515594482422 16.246875762939453, 117.91075897216797 20.670194625854492, 120.14791870117188 41.473854064941406, 155.1018829345703 36.11194610595703, 146.5515594482422 16.246875762939453))",A2025097_1642_002.tif,117.92146466064452,155.10346466064453,16.246490020751953,41.47349002075195,99.99999999999956,A2025097_1642_002.tif
